Modelo,Acuracia,Revocacao,F1 Score
Arvore de Decisao,0.7912258849919124,0.6905432091307804,0.6865137750471209
Floresta Randomicas,0.8135331480970067,0.6866904784241575,0.6970740645506928
Naive Bayes,0.7947032931111249,0.5001014496189404,0.4433190693944138
K-Vizinhos Proximos,0.8364040105731242,0.7037881773479621,0.7229601388200109
Regressao Logistica,0.7948498289475909,0.5,0.44285032437151056
